ts,agent_id,x,y,z,v
2301011,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
2301012,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
2301013,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
2301014,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
2301015,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
2301016,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
2301017,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
2301018,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
2301019,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.6460635159523115e-08
2301020,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.502225281649642e-08
2301021,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.066011435740976e-08
2301022,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.350399078277828e-08
2301023,0,192.36241149902344,-86.26268005371094,-0.04107673466205597,0.00028588471178427803
2301024,0,192.36244201660156,-86.26265716552734,-0.03865554556250572,0.001157919560756375
2301025,0,192.36241149902344,-86.26264190673828,-0.03404334932565689,0.0004826640998300918
2301026,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013310343031683135
2301027,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.49727128975052e-05
2301028,0,192.36241149902344,-86.26263427734375,-0.015612220391631126,0.0001272864120673781
2301029,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.00016147475470865085
2301030,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.0001694578421693117
2301031,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.0001644125125930366
2301032,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.00015260370280789566
2301033,0,192.36244201660156,-86.26265716552734,0.01010768860578537,0.0001391791830076153
2301034,0,192.36244201660156,-86.26265716552734,0.013701400719583035,0.00012405636226003034
2301035,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011066725960385061
2301036,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.75598070287718e-05
2301037,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.574118167740659e-05
2301038,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.51268612765519e-05
2301039,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.551144235912713e-05
2301040,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7143949445488184e-05
2301041,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.003624124706299e-05
2301042,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.356632953827744e-05
2301043,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.842829606705121e-05
2301044,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.3402488370764764e-05
2301045,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.9115031075374877e-05
2301046,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5409965812020163e-05
2301047,0,192.36245727539062,-86.2626724243164,0.031874656677246094,2.2102221942609588e-05
2301048,0,192.36245727539062,-86.2626724243164,0.032195623964071274,1.8513249680053173e-05
2301049,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.6810432772901154e-05
2301050,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.4100264597834739e-05
2301051,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2346431286623924e-05
2301052,0,192.36245727539062,-86.2626724243164,0.033003728836774826,1.1167006559268057e-05
2301053,0,192.36245727539062,-86.2626724243164,0.033124085515737534,9.432731532782389e-06
2301054,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.368017202137979e-06
2301055,0,192.36245727539062,-86.2626724243164,0.03330310806632042,7.161487221282722e-06
2301056,0,192.36245727539062,-86.2626724243164,0.033368948847055435,5.9597084511937174e-06
2301057,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.466119270048244e-06
2301058,0,192.36245727539062,-86.26268005371094,0.033466413617134094,4.6201709170241156e-06
2301059,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.0658623333831675e-07
2301060,0,192.36245727539062,-86.26268005371094,0.03348476439714432,3.2498562752660056e-07
2301061,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.802712399220225e-07
2301062,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.13681382739535e-07
2301063,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.463256564081997e-07
2301064,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.622909270166324e-07
2301065,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.53402608663199e-07
2301066,0,192.36245727539062,-86.26268005371094,0.03357597440481186,3.4094556704005667e-07
2301067,0,192.36245727539062,-86.26268005371094,0.03358745574951172,2.1328145313428333e-07
2301068,0,192.36245727539062,-86.26268005371094,0.033597640693187714,2.239106066195994e-07
2301069,0,192.36245727539062,-86.26268005371094,0.03360656648874283,1.5744525223842125e-07
2301070,0,192.36245727539062,-86.26268005371094,0.03361419588327408,2.433521702133689e-07
2301071,0,192.36245727539062,-86.26268005371094,0.03362079709768295,1.2286992778667387e-07
2301072,0,192.36245727539062,-86.26268005371094,0.03362640365958214,1.0654423005005248e-07
2301073,0,192.36245727539062,-86.26268005371094,0.033631209284067154,8.003670455017719e-08
2301074,0,192.36245727539062,-86.26268005371094,0.033635254949331284,1.1840443669939688e-07
2301075,0,192.36245727539062,-86.26268005371094,0.0336386114358902,7.578340339741721e-08
