ts,agent_id,throttle,steer,brake
2301011,0,0.8999999761581421,-0.0005906670121476054,0.0
2301012,0,0.8999999761581421,0.0012696238700300455,0.0
2301013,0,0.8999999761581421,0.001510346308350563,0.0
2301014,0,0.8999999761581421,0.005809605587273836,0.0
2301015,0,0.8999999761581421,0.007219911087304354,0.0
2301016,0,0.8999999761581421,0.004571588709950447,0.0
2301017,0,0.8999999761581421,0.0023681819438934326,0.0
2301018,0,0.8999999761581421,0.004379201214760542,0.0
2301019,0,0.8999999761581421,0.003694882383570075,0.0
2301020,0,0.8999999761581421,0.005750925280153751,0.0
2301021,0,0.8999999761581421,0.004878411069512367,0.0
2301022,0,0.8999999761581421,0.005003562197089195,0.0
2301023,0,0.8999999761581421,0.005181505344808102,0.0
2301024,0,0.8999999761581421,0.006663970183581114,0.0
2301025,0,0.8999999761581421,0.004972222726792097,0.0
2301026,0,0.8999999761581421,0.004968737717717886,0.0
2301027,0,0.8999999761581421,0.004559984430670738,0.0
2301028,0,0.8999999761581421,0.004651828669011593,0.0
2301029,0,0.8999999761581421,0.0028336828108876944,0.0
2301030,0,0.8999999761581421,0.004012514837086201,0.0
2301031,0,0.8999999761581421,0.002921542152762413,0.0
2301032,0,0.8999999761581421,0.0035851672291755676,0.0
2301033,0,0.8999999761581421,0.0034263278357684612,0.0
2301034,0,0.8999999761581421,0.0026397411711513996,0.0
2301035,0,0.8999999761581421,0.003000423079356551,0.0
2301036,0,0.8999999761581421,0.003205860499292612,0.0
2301037,0,0.8999999761581421,0.003216502256691456,0.0
2301038,0,0.8999999761581421,0.00387189956381917,0.0
2301039,0,0.8999999761581421,0.0033599166199564934,0.0
2301040,0,0.8999999761581421,0.0036581847816705704,0.0
2301041,0,0.8999999761581421,0.0033554176334291697,0.0
2301042,0,0.8999999761581421,0.0030768776778131723,0.0
2301043,0,0.8999999761581421,0.0037918472662568092,0.0
2301044,0,0.8999999761581421,0.0030018286779522896,0.0
2301045,0,0.8999999761581421,0.0023610296193510294,0.0
2301046,0,0.8999999761581421,0.002275969134643674,0.0
2301047,0,0.8999999761581421,0.00395366782322526,0.0
2301048,0,0.8999999761581421,0.0022248923778533936,0.0
2301049,0,0.8999999761581421,0.0030849180184304714,0.0
2301050,0,0.8999999761581421,0.002687687985599041,0.0
2301051,0,0.8999999761581421,0.002809198573231697,0.0
2301052,0,0.8999999761581421,0.0021548436488956213,0.0
2301053,0,0.8999999761581421,0.0020083729177713394,0.0
2301054,0,0.8999999761581421,0.0025557016488164663,0.0
2301055,0,0.8999999761581421,0.0027399759273976088,0.0
2301056,0,0.8999999761581421,0.002618039958178997,0.0
2301057,0,0.8999999761581421,0.0022694170475006104,0.0
2301058,0,0.8999999761581421,0.002272203331813216,0.0
2301059,0,0.8999999761581421,0.002287448849529028,0.0
2301060,0,0.8999999761581421,0.0017521812114864588,0.0
2301061,0,0.8999999761581421,0.0025981327053159475,0.0
2301062,0,0.8999999761581421,0.002972455695271492,0.0
2301063,0,0.8999999761581421,0.0019738548435270786,0.0
2301064,0,0.8999999761581421,0.002149790758267045,0.0
2301065,0,0.8999999761581421,0.002298214938491583,0.0
2301066,0,0.8999999761581421,0.0017140402924269438,0.0
