ts,agent_id,throttle,steer,brake
2291130,0,0.8999999761581421,0.004200655035674572,0.0
2291131,0,0.8999999761581421,0.00324382190592587,0.0
2291132,0,0.8999999761581421,0.002643678104504943,0.0
2291133,0,0.8999999761581421,0.0028794172685593367,0.0
2291134,0,0.8999999761581421,0.003042255761101842,0.0
2291135,0,0.8999999761581421,0.0031561271753162146,0.0
2291136,0,0.8999999761581421,0.002553793601691723,0.0
2291137,0,0.8999999761581421,0.003417147556319833,0.0
2291138,0,0.8999999761581421,0.0034685013815760612,0.0
2291139,0,0.8999999761581421,0.003454537596553564,0.0
2291140,0,0.8999999761581421,0.0031919844914227724,0.0
2291141,0,0.8999999761581421,0.00306930229999125,0.0
2291142,0,0.8999999761581421,0.002916363999247551,0.0
2291143,0,0.8999999761581421,0.002661543432623148,0.0
2291144,0,0.8999999761581421,0.0026396194007247686,0.0
2291145,0,0.8999999761581421,0.002473326399922371,0.0
2291146,0,0.8999999761581421,0.002667603548616171,0.0
2291147,0,0.8999999761581421,0.002339272992685437,0.0
2291148,0,0.8999999761581421,0.002463448094204068,0.0
2291149,0,0.8999999761581421,0.002406769897788763,0.0
2291150,0,0.8999999761581421,0.0024093948304653168,0.0
2291151,0,0.8999999761581421,0.0023963286075741053,0.0
2291152,0,0.8999999761581421,0.002493599895387888,0.0
2291153,0,0.8999999761581421,0.002352709649130702,0.0
2291154,0,0.8999999761581421,0.002365248277783394,0.0
2291155,0,0.8999999761581421,0.0023072324693202972,0.0
2291156,0,0.8999999761581421,0.0023008768912404776,0.0
2291157,0,0.8999999761581421,0.0022546674590557814,0.0
2291158,0,0.8999999761581421,0.002303430112078786,0.0
2291159,0,0.8999999761581421,0.00232546404004097,0.0
2291160,0,0.8999999761581421,0.00222780741751194,0.0
2291161,0,0.8999999761581421,0.002351253991946578,0.0
2291162,0,0.8999999761581421,0.00236978055909276,0.0
2291163,0,0.8999999761581421,0.0023141438141465187,0.0
2291164,0,0.8999999761581421,0.0023532959166914225,0.0
2291165,0,0.8999999761581421,0.002284037182107568,0.0
2291166,0,0.8999999761581421,0.002392594004049897,0.0
2291167,0,0.8999999761581421,0.0023796858731657267,0.0
2291168,0,0.8999999761581421,0.0024147627409547567,0.0
2291169,0,0.8999999761581421,0.002453611698001623,0.0
2291170,0,0.8999999761581421,0.0024346678983420134,0.0
2291171,0,0.8999999761581421,0.0023556211963295937,0.0
2291172,0,0.8999999761581421,0.002307745860889554,0.0
2291173,0,0.8999999761581421,0.0023063556291162968,0.0
2291174,0,0.8999999761581421,0.002282888162881136,0.0
2291175,0,0.8999999761581421,0.002333670621737838,0.0
2291176,0,0.8999999761581421,0.002427112078294158,0.0
2291177,0,0.8999999761581421,0.002260133856907487,0.0
2291178,0,0.8999999761581421,0.0022679800167679787,0.0
2291179,0,0.8999999761581421,0.0021324518602341413,0.0
2291180,0,0.8999999761581421,0.00211414135992527,0.0
2291181,0,0.8999999761581421,0.0020827765110880136,0.0
2291182,0,0.8999999761581421,0.0019682315178215504,0.0
2291183,0,0.8999999761581421,0.0021820776164531708,0.0
2291184,0,0.8999999761581421,0.0020941118709743023,0.0
2291185,0,0.8999999761581421,0.002035049255937338,0.0
2291186,0,0.8999999761581421,0.002051212592050433,0.0
2291187,0,0.8999999761581421,0.0019763607997447252,0.0
2291188,0,0.8999999761581421,0.001904803211800754,0.0
2291189,0,0.8999999761581421,0.00205058790743351,0.0
2291190,0,0.8999999761581421,0.0020363824442029,0.0
2291191,0,0.8999999761581421,0.0019572831224650145,0.0
2291192,0,0.8999999761581421,0.0019704641308635473,0.0
2291193,0,0.8999999761581421,0.0018433955265209079,0.0
2291194,0,0.8999999761581421,0.002059368882328272,0.0
2291195,0,0.8999999761581421,0.001761009218171239,0.0
2291196,0,0.8999999761581421,0.0018158485181629658,0.0
2291197,0,0.8999999761581421,0.001941528171300888,0.0
2291198,0,0.8999999761581421,0.001811851398088038,0.0
2291199,0,0.8999999761581421,0.0018823660211637616,0.0
2291200,0,0.8999999761581421,0.0018946417840197682,0.0
2291201,0,0.8999999761581421,0.0018801462138071656,0.0
2291202,0,0.8999999761581421,0.0017798135522753,0.0
2291203,0,0.8999999761581421,0.0017953593051061034,0.0
2291204,0,0.8999999761581421,0.0019451468251645565,0.0
2291205,0,0.8999999761581421,0.0019239761168137193,0.0
2291206,0,0.8999999761581421,0.0019174475455656648,0.0
2291207,0,0.8999999761581421,0.0018972443649545312,0.0
2291208,0,0.8999999761581421,0.001886949292384088,0.0
2291209,0,0.8999999761581421,0.001837612595409155,0.0
2291210,0,0.8999999761581421,0.0018128830706700683,0.0
2291211,0,0.8999999761581421,0.001859807875007391,0.0
2291212,0,0.8999999761581421,0.001785042928531766,0.0
2291213,0,0.8999999761581421,0.0018302573589608073,0.0
2291214,0,0.8999999761581421,0.0017518666572868824,0.0
2291215,0,0.8999999761581421,0.0019333206582814455,0.0
2291216,0,0.8999999761581421,0.0018379028188064694,0.0
2291217,0,0.8999999761581421,0.0017107973108068109,0.0
2291218,0,0.8999999761581421,0.0018565364880487323,0.0
2291219,0,0.8999999761581421,0.0017615897813811898,0.0
2291220,0,0.8999999761581421,0.0017285856883972883,0.0
2291221,0,0.8999999761581421,0.0017546272138133645,0.0
2291222,0,0.8999999761581421,0.0018465814646333456,0.0
2291223,0,0.8999999761581421,0.001860916381701827,0.0
2291224,0,0.8999999761581421,0.00185306160710752,0.0
2291225,0,0.8999999761581421,0.0018252442823722959,0.0
2291226,0,0.8999999761581421,0.0017798874760046601,0.0
2291227,0,0.8999999761581421,0.001649211742915213,0.0
2291228,0,0.8999999761581421,0.0016441019251942635,0.0
2291229,0,0.8999999761581421,0.0016952045261859894,0.0
2291230,0,0.8999999761581421,0.0018058578716591,0.0
2291231,0,0.8999999761581421,0.0015461428556591272,0.0
2291232,0,0.8999999761581421,0.0014536392409354448,0.0
2291233,0,0.8999999761581421,0.0015544642228633165,0.0
2291234,0,0.8999999761581421,0.0014575367094948888,0.0
2291235,0,0.8999999761581421,0.0016605270793661475,0.0
2291236,0,0.8999999761581421,0.0017206441843882203,0.0
2291237,0,0.8999999761581421,0.0018774453783407807,0.0
2291238,0,0.8999999761581421,0.0016755806282162666,0.0
2291239,0,0.8999999761581421,0.0018190373666584492,0.0
2291240,0,0.8999999761581421,0.002009279327467084,0.0
