ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
2291130,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
2291131,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
2291132,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
2291133,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
2291134,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
2291135,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
2291136,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
2291137,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
2291138,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
2291139,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
2291140,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
2291141,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
2291142,0,5.582104629980321,195.56744384765625,-90.83265686035156,0.013436851091682911
2291143,0,5.582061392693935,195.56744384765625,-90.83265686035156,0.011098288930952549
2291144,0,5.58203731373542,195.56744384765625,-90.83265686035156,0.009217948652803898
2291145,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
2291146,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
2291147,0,5.581915910632607,195.56744384765625,-90.83265686035156,0.0055175782181322575
2291148,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
2291149,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
2291150,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
2291151,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
2291152,0,5.581844342228537,195.56744384765625,-90.83265686035156,0.002874908270314336
2291153,0,5.581850665159098,195.56744384765625,-90.83265686035156,0.0026153563521802425
2291154,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
2291155,0,5.5818513325650745,195.56744384765625,-90.83265686035156,0.0022409819066524506
2291156,0,5.5818593685408135,195.56744384765625,-90.83265686035156,0.0021076963748782873
2291157,0,5.581867010774956,195.56744384765625,-90.83265686035156,0.0020010375883430243
2291158,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
2291159,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
2291160,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
2291161,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
2291162,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
2291163,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
2291164,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
2291165,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
2291166,0,5.581900327346283,195.56744384765625,-90.83265686035156,0.001632423372939229
2291167,0,5.58190213758969,195.56744384765625,-90.83265686035156,0.0016210937174037099
2291168,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
2291169,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
2291170,0,5.581905921641135,195.56744384765625,-90.83265686035156,0.0015991592081263661
2291171,0,5.581906771538084,195.56744384765625,-90.83265686035156,0.0015946197090670466
2291172,0,5.581907470548025,195.56744384765625,-90.83265686035156,0.0015909957000985742
2291173,0,5.581908044037622,195.56744384765625,-90.83265686035156,0.001588096609339118
2291174,0,5.581908514439032,195.56744384765625,-90.83265686035156,0.0015857695834711194
2291175,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
2291176,0,5.581909213320883,195.56744384765625,-90.83265686035156,0.0015824889997020364
2291177,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291178,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291179,0,5.5819033288176,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291180,0,5.581903418670491,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291181,0,5.581903512915525,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291182,0,5.581903606356219,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291183,0,5.581903695022975,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291184,0,5.581903776753006,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291185,0,5.581903850640155,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291186,0,5.581903916909861,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291187,0,5.581903975318798,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291188,0,5.581904026094546,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291189,0,5.5819040698721105,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291190,0,5.581904107523169,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291191,0,5.58190413994218,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291192,0,5.581904167532778,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291193,0,5.581904190528102,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291194,0,5.581904209803607,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291195,0,5.581904209803607,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291196,0,5.581904218789548,195.56744384765625,-90.83265686035156,0.0015813064528629184
2291197,0,5.581904226684702,195.56744384765625,-90.83265686035156,0.0015813064528629184
