ts,agent_id,x,y,z,v
2294097,0,192.36241149902344,-86.26268005371094,0.5393258333206177,0.0
2294098,0,192.36241149902344,-86.26268005371094,0.4919061064720154,0.0
2294099,0,192.36241149902344,-86.26268005371094,0.4383743107318878,0.0
2294100,0,192.36241149902344,-86.26268005371094,0.3787320554256439,0.0
2294101,0,192.36241149902344,-86.26268005371094,0.31298086047172546,0.0
2294102,0,192.36241149902344,-86.26268005371094,0.24112220108509064,0.0
2294103,0,192.36241149902344,-86.26268005371094,0.16315768659114838,0.0
2294104,0,192.36241149902344,-86.26268005371094,0.08290393650531769,0.0
2294105,0,192.36241149902344,-86.26268005371094,0.026514854282140732,3.716680513012198e-08
2294106,0,192.36241149902344,-86.26268005371094,-0.008726844564080238,8.490332511730742e-08
2294107,0,192.36241149902344,-86.26268005371094,-0.029134521260857582,4.378230482646941e-08
2294108,0,192.36241149902344,-86.26268005371094,-0.03932075574994087,8.651308510494769e-08
2294109,0,192.36241149902344,-86.26268005371094,-0.041076697409152985,0.0002861293526145749
2294110,0,192.36244201660156,-86.26265716552734,-0.03865550830960274,0.001160283353331913
2294111,0,192.36241149902344,-86.26264190673828,-0.034043312072753906,0.00048428514404694076
2294112,0,192.36241149902344,-86.26263427734375,-0.028247259557247162,0.00013419491561245299
2294113,0,192.36241149902344,-86.26263427734375,-0.02195255272090435,4.471296908571493e-05
2294114,0,192.36241149902344,-86.26263427734375,-0.015612182207405567,0.00012768819361307402
2294115,0,192.36241149902344,-86.26263427734375,-0.009513778612017632,0.0001614882448059151
2294116,0,192.36244201660156,-86.26264190673828,-0.003827972337603569,0.00016989292211823173
2294117,0,192.36244201660156,-86.26264190673828,0.0013550185831263661,0.00016460896968910398
2294118,0,192.36244201660156,-86.26264190673828,0.006000022869557142,0.0001528916318903289
2294119,0,192.36244201660156,-86.26265716552734,0.01010765042155981,0.00013931404394868386
2294120,0,192.36244201660156,-86.26265716552734,0.013701362535357475,0.00012451376176852907
2294121,0,192.36244201660156,-86.26265716552734,0.016817854717373848,0.00011097238903588826
2294122,0,192.36245727539062,-86.26266479492188,0.01950054056942463,9.773043534867801e-05
2294123,0,192.36245727539062,-86.26266479492188,0.021795349195599556,8.594348364133153e-05
2294124,0,192.36245727539062,-86.26266479492188,0.023747749626636505,7.525590754842034e-05
2294125,0,192.36245727539062,-86.26266479492188,0.02540103904902935,6.58096068227323e-05
2294126,0,192.36245727539062,-86.2626724243164,0.026795310899615288,5.7273057412715714e-05
2294127,0,192.36245727539062,-86.2626724243164,0.02796676568686962,5.013792793737352e-05
2294128,0,192.36245727539062,-86.2626724243164,0.028947867453098297,4.3278681559889914e-05
2294129,0,192.36245727539062,-86.2626724243164,0.0297671128064394,3.836071257391542e-05
2294130,0,192.36245727539062,-86.2626724243164,0.030449332669377327,3.3448677892274835e-05
2294131,0,192.36245727539062,-86.2626724243164,0.03101608157157898,2.923558817290906e-05
2294132,0,192.36245727539062,-86.2626724243164,0.03148593753576279,2.5487911648475662e-05
2294133,0,192.36245727539062,-86.2626724243164,0.03187461942434311,2.2168860948479882e-05
2294134,0,192.36245727539062,-86.2626724243164,0.03219558671116829,1.8600493710582692e-05
2294135,0,192.36245727539062,-86.2626724243164,0.03246017545461655,1.645915605817996e-05
2294136,0,192.36245727539062,-86.2626724243164,0.03267795592546463,1.409615817786346e-05
2294137,0,192.36245727539062,-86.2626724243164,0.03285682573914528,1.2372930990884495e-05
2294138,0,192.36245727539062,-86.2626724243164,0.03300369158387184,1.1101103257839373e-05
2294139,0,192.36245727539062,-86.2626724243164,0.03312404453754425,9.786839649652587e-06
2294140,0,192.36245727539062,-86.2626724243164,0.033222541213035583,8.367259765983925e-06
2294141,0,192.36245727539062,-86.2626724243164,0.03330310806632042,7.207404180901006e-06
2294142,0,192.36245727539062,-86.2626724243164,0.033368948847055435,6.143320937700411e-06
2294143,0,192.36245727539062,-86.2626724243164,0.03342258557677269,5.5486256980890684e-06
2294144,0,192.36245727539062,-86.26268005371094,0.033466413617134094,5.005830780910582e-06
2294145,0,192.36245727539062,-86.26268005371094,0.0334714874625206,4.0721859373533084e-07
2294146,0,192.36245727539062,-86.26268005371094,0.03348476439714432,3.244940934258916e-07
2294147,0,192.36245727539062,-86.26268005371094,0.03350048139691353,3.792828500190162e-07
2294148,0,192.36245727539062,-86.26268005371094,0.033516958355903625,4.11505358435875e-07
2294149,0,192.36245727539062,-86.26268005371094,0.033533286303281784,4.4449065389928383e-07
2294150,0,192.36245727539062,-86.26268005371094,0.03354877233505249,3.6027244719873534e-07
2294151,0,192.36245727539062,-86.26268005371094,0.0335630401968956,2.512626300964878e-07
2294152,0,192.36245727539062,-86.26268005371094,0.033575933426618576,2.966429888509255e-07
2294153,0,192.36245727539062,-86.26268005371094,0.0335874930024147,2.3453218254363337e-07
2294154,0,192.36245727539062,-86.26268005371094,0.0335976779460907,2.182006611120459e-07
2294155,0,192.36245727539062,-86.26268005371094,0.033606529235839844,1.6102966135588825e-07
2294156,0,192.36245727539062,-86.26268005371094,0.033614158630371094,1.5031525719122437e-07
2294157,0,192.36245727539062,-86.26268005371094,0.033620718866586685,1.450581256393671e-07
2294158,0,192.36245727539062,-86.26268005371094,0.03362636640667915,1.0391116250115147e-07
2294159,0,192.36245727539062,-86.26268005371094,0.03363117203116417,8.136305869685457e-08
2294160,0,192.36245727539062,-86.26268005371094,0.033635213971138,1.2770563588638868e-07
2294161,0,192.36245727539062,-86.26268005371094,0.033638570457696915,7.22382524462537e-08
2294162,0,192.36245727539062,-86.26268005371094,0.033638570457696915,7.743764142652723e-08
2294163,0,192.36245727539062,-86.26268005371094,0.033640097826719284,2.2202065925485397e-08
2294164,0,192.36245727539062,-86.26268005371094,0.03364143148064613,8.16197887469278e-08
2294165,0,192.36245727539062,-86.26268005371094,0.033642884343862534,6.451965626567966e-08
2294166,0,192.36245727539062,-86.26268005371094,0.03364429250359535,4.833911444012936e-08
2294167,0,192.36245727539062,-86.26268005371094,0.033645667135715485,2.833235622865763e-08
2294168,0,192.36245727539062,-86.26268005371094,0.03364696353673935,7.88625210711093e-08
2294169,0,192.36245727539062,-86.26268005371094,0.03364810720086098,4.796614005107835e-08
2294170,0,192.36245727539062,-86.26268005371094,0.03364913910627365,8.518027658330305e-08
2294171,0,192.36245727539062,-86.26268005371094,0.03364913910627365,8.510548230536321e-08
2294172,0,192.36245727539062,-86.26268005371094,0.03365085646510124,1.1952292330187446e-07
2294173,0,192.36245727539062,-86.26268005371094,0.03365085646510124,9.009448192787038e-09
2294174,0,192.36245727539062,-86.26268005371094,0.03365219011902809,3.475920474963288e-08
2294175,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.2331187496383744e-08
2294176,0,192.36245727539062,-86.26268005371094,0.03365219011902809,2.166150338525439e-08
2294177,0,192.36245727539062,-86.26268005371094,0.03365344926714897,8.058143298077777e-08
2294178,0,192.36245727539062,-86.26268005371094,0.03365344926714897,2.767439784540473e-08
2294179,0,192.36245727539062,-86.26268005371094,0.03365344926714897,5.5033396705080986e-08
2294180,0,192.36245727539062,-86.26268005371094,0.03365344926714897,9.732551957615343e-08
2294181,0,192.36245727539062,-86.26268005371094,0.03365344926714897,4.534123298967622e-09
2294182,0,192.36245727539062,-86.26268005371094,0.03365344926714897,4.8034119955715354e-09
2294183,0,192.36245727539062,-86.26268005371094,0.03365344926714897,4.506401982926339e-09
2294184,0,192.36245727539062,-86.26268005371094,0.03365344926714897,4.533366303709234e-09
2294185,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.165435213374852e-09
2294186,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.514975791326467e-09
2294187,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.756117937685007e-09
2294188,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.866107911554403e-09
2294189,0,192.36245727539062,-86.26268005371094,0.03365451842546463,4.8957152704124634e-08
2294190,0,192.36245727539062,-86.26268005371094,0.03365451842546463,5.4645862335606416e-09
2294191,0,192.36245727539062,-86.26266479492188,0.03365623578429222,0.001349054118837045
2294192,0,192.36253356933594,-86.25653839111328,0.03353568911552429,0.3201679288890896
2294193,0,192.3627166748047,-86.24253845214844,0.033331070095300674,0.6303399302392847
2294194,0,192.36300659179688,-86.2209243774414,0.03309100866317749,0.9311130549892086
2294195,0,192.3633575439453,-86.19197845458984,0.03284561261534691,1.2220583114268455
2294196,0,192.3638458251953,-86.15596771240234,0.03261299058794975,1.5028848001906951
2294197,0,192.36441040039062,-86.1131362915039,0.032403066754341125,1.7734167482584098
2294198,0,192.36509704589844,-86.06375885009766,0.03222084045410156,2.0335662596050494
2294199,0,192.36585998535156,-86.00811004638672,0.032067909836769104,2.2833400774932304
2294200,0,192.36666870117188,-85.94642639160156,0.03194373846054077,2.5228186183969967
2294201,0,192.3675537109375,-85.87897491455078,0.03184669464826584,2.7521597845351655
2294202,0,192.3685302734375,-85.80599212646484,0.03177428990602493,2.9715824673717397
2294203,0,192.36956787109375,-85.72772216796875,0.03172420337796211,3.1813646432442293
2294204,0,192.3706817626953,-85.64440155029297,0.03169361129403114,3.381832463853624
2294205,0,192.37188720703125,-85.5562515258789,0.03167995437979698,3.573339229406663
2294206,0,192.37319946289062,-85.4634780883789,0.031680718064308167,3.7562929157716702
2294207,0,192.37451171875,-85.36629486083984,0.03169364854693413,3.9310985571829313
2294208,0,192.3759002685547,-85.26490783691406,0.031716421246528625,4.098229778866365
2294209,0,192.37730407714844,-85.15947723388672,0.03174735978245735,4.258380861264787
2294210,0,192.3787841796875,-85.05016326904297,0.03178447484970093,4.412068194166114
2294211,0,192.38031005859375,-84.93712615966797,0.031826283782720566,4.559633746625933
2294212,0,192.38192749023438,-84.82052612304688,0.03187164291739464,4.701390141907318
2294213,0,192.38360595703125,-84.70047760009766,0.03191955387592316,4.837665244786165
2294214,0,192.38534545898438,-84.5771255493164,0.03196883946657181,4.968782839006417
2294215,0,192.38710021972656,-84.45057678222656,0.03216678649187088,5.095984823488107
2294216,0,192.388916015625,-84.32093811035156,0.032418593764305115,5.218213875385617
2294217,0,192.39071655273438,-84.18830871582031,0.03258151933550835,5.336208237414741
2294218,0,192.39259338378906,-84.05281066894531,0.032686956226825714,5.450219633072922
2294219,0,192.3944549560547,-83.9145278930664,0.03275558352470398,5.5605181935504255
2294220,0,192.39634704589844,-83.77355194091797,0.032800979912281036,5.6673669930840616
2294221,0,192.3982391357422,-83.6299819946289,0.032832372933626175,5.771003859186847
2294222,0,192.40017700195312,-83.48385620117188,0.03285541385412216,5.8716775978535365
2294223,0,192.40213012695312,-83.33528137207031,0.03287387639284134,5.96959599074677
2294224,0,192.4041748046875,-83.18429565429688,0.032890014350414276,6.064948619139015
2294225,0,192.40625,-83.03097534179688,0.03290523588657379,6.157953977698866
2294226,0,192.40835571289062,-82.87535858154297,0.032919999212026596,6.248772748390323
2294227,0,192.41046142578125,-82.71751403808594,0.03293498978018761,6.33756175714327
2294228,0,192.41253662109375,-82.55747985839844,0.03295024856925011,6.42445991278586
2294229,0,192.41456604003906,-82.39530944824219,0.03296562284231186,6.509624357688077
2294230,0,192.4165802001953,-82.23104095458984,0.03298122435808182,6.5931614655118675
2294231,0,192.41851806640625,-82.06470489501953,0.03299686312675476,6.6751908913244264
2294232,0,192.42044067382812,-81.8963394165039,0.033012505620718,6.755828233749018
2294233,0,192.42236328125,-81.72598266601562,0.03302791342139244,6.835151567870702
2294234,0,192.42425537109375,-81.55367279052734,0.03304317221045494,6.913254174245291
2294235,0,192.4261474609375,-81.37942504882812,0.03305789828300476,6.990208813067885
2294236,0,192.42803955078125,-81.2032699584961,0.03307231888175011,7.06609596739381
2294237,0,192.42996215820312,-81.0252456665039,0.03308635577559471,7.140975505504311
2294238,0,192.43191528320312,-80.84535217285156,0.03309989720582962,7.214907019155618
2294239,0,192.4338836669922,-80.66362762451172,0.0331127904355526,7.287945375763884
2294240,0,192.43585205078125,-80.4801025390625,0.033125150948762894,7.360141353883375
2294241,0,192.4378204345703,-80.2947769165039,0.033137090504169464,7.431537592555744
2294242,0,192.4397430419922,-80.10768127441406,0.033148497343063354,7.502172298102168
2294243,0,192.4416961669922,-79.91883850097656,0.03315925598144531,7.572092603674902
2294244,0,192.44374084472656,-79.72825622558594,0.0331697091460228,7.6413281270234235
2294245,0,192.44577026367188,-79.53595733642578,0.033179473131895065,7.709918967971876
2294246,0,192.44784545898438,-79.34194946289062,0.03318878263235092,7.777887333612456
2294247,0,192.45001220703125,-79.14625549316406,0.033197708427906036,7.845250927026035
2294248,0,192.45220947265625,-78.94889831542969,0.033206213265657425,7.912054483465251
2294249,0,192.4544219970703,-78.74986267089844,0.033214110881090164,7.9783062192364715
2294250,0,192.45663452148438,-78.5491943359375,0.0332217775285244,8.044029579906747
2294251,0,192.4588623046875,-78.34688568115234,0.03322894871234894,8.109576988798809
2294252,0,192.46104431152344,-78.14442443847656,0.03326816484332085,8.102030793050966
2294253,0,192.4633026123047,-77.94203186035156,0.03332565352320671,8.097919537419546
2294254,0,192.4656219482422,-77.7397232055664,0.033389586955308914,8.094628360627901
2294255,0,192.46804809570312,-77.5374755859375,0.03345329314470291,8.0915573871753
2294256,0,192.47056579589844,-77.33531188964844,0.03351341187953949,8.08856162290651
2294257,0,192.47311401367188,-77.13321685791016,0.03356796130537987,8.085581237849224
2294258,0,192.47572326660156,-76.93118286132812,0.03361678868532181,8.082617707414363
2294259,0,192.47840881347656,-76.7292251586914,0.03365962952375412,8.079645269387756
2294260,0,192.48117065429688,-76.52734375,0.03369724377989769,8.076681764324519
2294261,0,192.48402404785156,-76.32553100585938,0.033729858696460724,8.073712768604183
2294262,0,192.4868927001953,-76.123779296875,0.03375816345214844,8.070758904685006
2294263,0,192.48971557617188,-75.92211151123047,0.03378234803676605,8.06780085414707
2294264,0,192.4926300048828,-75.72050476074219,0.03380321338772774,8.064834275901246
2294265,0,192.49554443359375,-75.51897430419922,0.03382110595703125,8.06188329804151
2294266,0,192.4984588623047,-75.31752014160156,0.033836670219898224,8.058934034435488
2294267,0,192.5012969970703,-75.11613464355469,0.033849943429231644,8.055979661102635
2294268,0,192.50411987304688,-74.9148178100586,0.03386131301522255,8.053025579681877
2294269,0,192.5069122314453,-74.71356964111328,0.033871039748191833,8.05007785722233
2294270,0,192.50965881347656,-74.51240539550781,0.033879354596138,8.047127187615395
2294271,0,192.51234436035156,-74.31130981445312,0.033886414021253586,8.044175122535483
2294272,0,192.51499938964844,-74.10952758789062,0.033874280750751495,8.099960014698175
2294273,0,192.51759338378906,-73.90492248535156,0.03380996733903885,8.210377619749746
2294274,0,192.52023315429688,-73.69761657714844,0.033724937587976456,8.316229344473259
2294275,0,192.52281188964844,-73.48773956298828,0.03363605588674545,8.417996853946116
2294276,0,192.52540588378906,-73.275390625,0.0335521325469017,8.516014925654336
2294277,0,192.5279998779297,-73.06066131591797,0.033477287739515305,8.61056999967057
2294278,0,192.53054809570312,-72.84364318847656,0.0334131233394146,8.701931893653148
2294279,0,192.533203125,-72.62439727783203,0.03335964307188988,8.7903603696073
2294280,0,192.5359344482422,-72.40300750732422,0.0333162285387516,8.876126999712174
2294281,0,192.53871154785156,-72.17953491210938,0.03328166902065277,8.959155809458526
2294282,0,192.54153442382812,-71.95404815673828,0.03325546160340309,9.038729550270924
2294283,0,192.5443878173828,-71.72665405273438,0.03323707357048988,9.114706241873945
2294284,0,192.5472412109375,-71.49744415283203,0.033225975930690765,9.186145196469596
2294285,0,192.5501251220703,-71.26654815673828,0.03322196751832962,9.252756179110685
2294286,0,192.55323791503906,-71.03410339355469,0.0332246758043766,9.313453815768035
2294287,0,192.556396484375,-70.8002700805664,0.03323417529463768,9.367863453597455
2294288,0,192.5595703125,-70.56519317626953,0.0332501195371151,9.41594552479435
2294289,0,192.5628204345703,-70.32903289794922,0.03327163681387901,9.458199493965306
2294290,0,192.56614685058594,-70.09193420410156,0.03329810872673988,9.494194746347203
2294291,0,192.5695037841797,-69.85407257080078,0.033329542726278305,9.522745456620596
2294292,0,192.5729522705078,-69.61565399169922,0.03336566686630249,9.543930452742039
2294293,0,192.5763397216797,-69.3768310546875,0.033406179398298264,9.558132726797728
2294294,0,192.5797576904297,-69.13777923583984,0.033449936658144,9.566434646337896
2294295,0,192.58309936523438,-68.89861297607422,0.03349536657333374,9.56987195299372
2294296,0,192.58639526367188,-68.65943908691406,0.03354175388813019,9.568833533804066
2294297,0,192.5897216796875,-68.42037200927734,0.03358829393982887,9.563431948389129
2294298,0,192.59300231933594,-68.18153381347656,0.03363483399152756,9.55291108666276
2294299,0,192.59625244140625,-67.9430923461914,0.03368251770734787,9.534268132942307
2294300,0,192.59939575195312,-67.70537567138672,0.03373512253165245,9.504129033918774
2294301,0,192.6024169921875,-67.4683609008789,0.03378646820783615,9.47583663606582
2294302,0,192.60536193847656,-67.23208618164062,0.033835142850875854,9.4457292406233
2294303,0,192.60821533203125,-66.9965591430664,0.03387981280684471,9.415791125446406
2294304,0,192.61099243164062,-66.76176452636719,0.033919524401426315,9.386926888074543
2294305,0,192.61366271972656,-66.52764129638672,0.03395351395010948,9.359524261909643
