ts,agent_id,throttle,steer,brake
10151,0,0.8999999761581421,-0.011096572503447533,0.0
10152,0,0.8999999761581421,-0.0034860374871641397,0.0
10153,0,0.8999999761581421,-0.019090764224529266,0.0
10154,0,0.8999999761581421,-0.017573310062289238,0.0
10155,0,0.8999999761581421,-0.01654277741909027,0.0
10156,0,0.8999999761581421,-0.00809500552713871,0.0
10157,0,0.8999999761581421,-0.007337599527090788,0.0
10158,0,0.8999999761581421,0.001354955486021936,0.0
10159,0,0.8999999761581421,0.0004040346830151975,0.0
10160,0,0.8999999761581421,0.0009416710818186402,0.0
10161,0,0.8999999761581421,0.0007466430542990565,0.0
10162,0,0.8999999761581421,0.0008180193835869431,0.0
10163,0,0.8999999761581421,-0.0005107232718728483,0.0
10164,0,0.8999999761581421,-0.0004128087603021413,0.0
10165,0,0.8999999761581421,-0.00037452607648447156,0.0
10166,0,0.8999999761581421,0.00020043588301632553,0.0
10167,0,0.8999999761581421,-0.0003101241309195757,0.0
10168,0,0.8999999761581421,-0.0012151787523180246,0.0
10169,0,0.8999999761581421,5.47435374755878e-05,0.0
10170,0,0.8999999761581421,3.3838368835859e-05,0.0
10171,0,0.8999999761581421,9.62624926614808e-06,0.0
10172,0,0.8999999761581421,-0.0005189668736420572,0.0
10173,0,0.8999999761581421,1.8882958102039993e-05,0.0
10174,0,0.8999999761581421,-0.000180503586307168,0.0
10175,0,0.8999999761581421,0.0004011106793768704,0.0
10176,0,0.8999999761581421,0.0007081057992763817,0.0
10177,0,0.8999999761581421,0.0008539255941286683,0.0
10178,0,0.8999999761581421,0.0006513074622489512,0.0
10179,0,0.8999999761581421,0.0005387525889091194,0.0
10180,0,0.8999999761581421,0.0007051895372569561,0.0
10181,0,0.8999999761581421,-0.00032063000253401697,0.0
10182,0,0.8999999761581421,-0.0020690637174993753,0.0
10183,0,0.8999999761581421,-0.0026011699810624123,0.0
10184,0,0.8999999761581421,-0.00261361850425601,0.0
10185,0,0.8999999761581421,-0.0021620625630021095,0.0
10186,0,0.8999999761581421,-0.002904399298131466,0.0
10187,0,0.8999999761581421,-0.002282876754179597,0.0
10188,0,0.8999999761581421,-0.0037261289544403553,0.0
10189,0,0.8999999761581421,-0.003238367149606347,0.0
10190,0,0.8999999761581421,-0.002689896384254098,0.0
10191,0,0.8999999761581421,-0.002387875458225608,0.0
10192,0,0.8999999761581421,-0.003723722416907549,0.0
10193,0,0.8999999761581421,-0.0025996738113462925,0.0
10194,0,0.8999999761581421,-0.0034330536145716906,0.0
10195,0,0.8999999761581421,-0.002528873272240162,0.0
10196,0,0.8999999761581421,-0.001320752315223217,0.0
10197,0,0.8999999761581421,-0.0006586778326891363,0.0
10198,0,0.8999999761581421,-0.0006940041203051805,0.0
10199,0,0.8999999761581421,-0.0011057720985263586,0.0
10200,0,0.8999999761581421,-0.0014692832482978702,0.0
10201,0,0.8999999761581421,-0.0008581606089137495,0.0
10202,0,0.8999999761581421,-0.000943338789511472,0.0
10203,0,0.8999999761581421,-0.0010777270654216409,0.0
10204,0,0.8999999761581421,-0.0017668319633230567,0.0
10205,0,0.8999999761581421,-0.0012876997934654355,0.0
10206,0,0.8999999761581421,-0.002197116846218705,0.0
10207,0,0.8999999761581421,-0.0014199806610122323,0.0
10208,0,0.8999999761581421,-0.002251068130135536,0.0
10209,0,0.8999999761581421,-0.003342956304550171,0.0
10210,0,0.8999999761581421,-0.0015146499499678612,0.0
10211,0,0.8999999761581421,-0.0018265206599608064,0.0
10212,0,0.8999999761581421,-0.0016481018392369151,0.0
10213,0,0.8999999761581421,-0.002649981062859297,0.0
10214,0,0.8999999761581421,-0.0025822469033300877,0.0
10215,0,0.8999999761581421,-0.0016169362934306264,0.0
10216,0,0.8999999761581421,-0.0019707202445715666,0.0
10217,0,0.8999999761581421,-0.0009878829587250948,0.0
10218,0,0.8999999761581421,-0.001003959565423429,0.0
10219,0,0.8999999761581421,-0.00032127503072842956,0.0
10220,0,0.8999999761581421,-0.0004284677270334214,0.0
10221,0,0.8999999761581421,-0.0014542938442900777,0.0
10222,0,0.8999999761581421,-0.002099972916767001,0.0
10223,0,0.8999999761581421,-0.00213816505856812,0.0
10224,0,0.8999999761581421,-0.002838562475517392,0.0
10225,0,0.8999999761581421,-0.0027182844933122396,0.0
10226,0,0.8999999761581421,-0.0028364979662001133,0.0
10227,0,0.8999999761581421,-0.0032474789768457413,0.0
10228,0,0.8999999761581421,-0.004859834909439087,0.0
10229,0,0.8999999761581421,-0.003970044665038586,0.0
10230,0,0.8999999761581421,-0.003348428988829255,0.0
10231,0,0.8999999761581421,-0.0030951742082834244,0.0
10232,0,0.8999999761581421,-0.003810102818533778,0.0
10233,0,0.8999999761581421,-0.00387770333327353,0.0
10234,0,0.8999999761581421,-0.005240452475845814,0.0
10235,0,0.8999999761581421,-0.004532056860625744,0.0
