ts,agent_id,cvip,cvip_x,cvip_y,cvip_z
2294097,0,500.4911885387494,198.76744079589844,-95.83265686035156,-499.8193664550781
2294098,0,5.595579574090421,195.56744384765625,-90.83265686035156,0.09999999403953552
2294099,0,5.592365059106882,195.56744384765625,-90.83265686035156,0.09540698677301407
2294100,0,5.589577830706274,195.56744384765625,-90.83265686035156,0.08469131588935852
2294101,0,5.587154487252182,195.56744384765625,-90.83265686035156,0.0693112164735794
2294102,0,5.58490284657624,195.56744384765625,-90.83265686035156,0.05613723769783974
2294103,0,5.583078219951395,195.56744384765625,-90.83265686035156,0.04550548270344734
2294104,0,5.582027767701456,195.56744384765625,-90.83265686035156,0.03692970052361488
2294105,0,5.581839537785531,195.56744384765625,-90.83265686035156,0.030015792697668076
2294106,0,5.581937002716514,195.56744384765625,-90.83265686035156,0.024444427341222763
2294107,0,5.582054312131681,195.56744384765625,-90.83265686035156,0.01995697058737278
2294108,0,5.582115992201545,195.56744384765625,-90.83265686035156,0.01634414680302143
2294109,0,5.582104629616517,195.56744384765625,-90.83265686035156,0.013436851091682911
2294110,0,5.582061392361894,195.56744384765625,-90.83265686035156,0.011098288930952549
2294111,0,5.5820373134467065,195.56744384765625,-90.83265686035156,0.009217948652803898
2294112,0,5.581991710267062,195.56744384765625,-90.83265686035156,0.007706718053668737
2294113,0,5.581948395724954,195.56744384765625,-90.83265686035156,0.00649261474609375
2294114,0,5.581915910488065,195.56744384765625,-90.83265686035156,0.0055175782181322575
2294115,0,5.581894103986878,195.56744384765625,-90.83265686035156,0.004734840244054794
2294116,0,5.581857788633585,195.56744384765625,-90.83265686035156,0.004106712061911821
2294117,0,5.581852601613148,195.56744384765625,-90.83265686035156,0.003602867014706135
2294118,0,5.581852851883691,195.56744384765625,-90.83265686035156,0.003198814345523715
2294119,0,5.58184434217906,195.56744384765625,-90.83265686035156,0.002874908270314336
2294120,0,5.5818506650832616,195.56744384765625,-90.83265686035156,0.0026153563521802425
2294121,0,5.581858257548936,195.56744384765625,-90.83265686035156,0.00240745535120368
2294122,0,5.5818513325650745,195.56744384765625,-90.83265686035156,0.0022409819066524506
2294123,0,5.5818593685408135,195.56744384765625,-90.83265686035156,0.0021076963748782873
2294124,0,5.581867010774956,195.56744384765625,-90.83265686035156,0.0020010375883430243
2294125,0,5.581874055145872,195.56744384765625,-90.83265686035156,0.0019157028291374445
2294126,0,5.581874153846434,195.56744384765625,-90.83265686035156,0.0018474578391760588
2294127,0,5.581879768039407,195.56744384765625,-90.83265686035156,0.00179290771484375
2294128,0,5.58188466719281,195.56744384765625,-90.83265686035156,0.0017492675688117743
2294129,0,5.581888894137341,195.56744384765625,-90.83265686035156,0.0017144393641501665
2294130,0,5.581892508051992,195.56744384765625,-90.83265686035156,0.0016865539364516735
2294131,0,5.581895574108779,195.56744384765625,-90.83265686035156,0.0016643141862004995
2294132,0,5.581898159364009,195.56744384765625,-90.83265686035156,0.0016465758671984076
2294133,0,5.581900327346283,195.56744384765625,-90.83265686035156,0.001632423372939229
2294134,0,5.58190213758969,195.56744384765625,-90.83265686035156,0.0016210937174037099
2294135,0,5.581903642873353,195.56744384765625,-90.83265686035156,0.0016120909713208675
2294136,0,5.581904890803503,195.56744384765625,-90.83265686035156,0.0016048812540248036
2294137,0,5.581905921432526,195.56744384765625,-90.83265686035156,0.0015991592081263661
2294138,0,5.581906771328464,195.56744384765625,-90.83265686035156,0.0015946197090670466
2294139,0,5.581907470316533,195.56744384765625,-90.83265686035156,0.0015909957000985742
2294140,0,5.581908044037622,195.56744384765625,-90.83265686035156,0.001588096609339118
2294141,0,5.581908514439032,195.56744384765625,-90.83265686035156,0.0015857695834711194
2294142,0,5.581908899371498,195.56744384765625,-90.83265686035156,0.0015839386032894254
2294143,0,5.581909213320883,195.56744384765625,-90.83265686035156,0.0015824889997020364
2294144,0,5.581903223963587,195.56744384765625,-90.83265686035156,0.0015813064528629184
2294145,0,5.581903252948857,195.56744384765625,-90.83265686035156,0.0015813064528629184
2294146,0,5.5819033288176,195.56744384765625,-90.83265686035156,0.0015813064528629184
